user_id,tweet_text,creation_date,user_location,user_follower,user_friends,sentiment_analysis_polarity,sentiment_analysis_subjectivity
503794853,"RT @nickpwing: There are people ""on both sides of that” — but one of those sides is the *wrong* side and the evidence shows that Trump is o…",2019-06-18 20:47:39,Short Grass Prairie of WY,3804,3650,-0.5,0.9
1014268065071054849,"idealmagn3t Posted... 
https://t.co/VB2v7vVPEM",2019-06-18 20:47:39,,34,49,0.0,0.0
959560960632647682,RT @SebGorka: And surprise guest @DonaldJTrumpJr now. https://t.co/zgCCmpICCX,2019-06-18 20:47:39,,103,253,0.0,0.0
4578441433,"RT @TheDailyEdge: Shanahan, an Unqualified Nominee Unable to Pass an FBI Background Check, Withdraws as Defense Secretary Nominee https://t…",2019-06-18 20:47:39,,131,233,-0.5,0.5
44133835,"RT @joncoopertweets: More to the point, if Democrats want to win in 2020, it will help if they impeach Trump. Not because the Senate will c…",2019-06-18 20:47:39,,320,1367,0.65,0.45
817841670842675200,Dork sounds jealous,2019-06-18 20:47:39,Escaped From Libturd NY,910,434,0.0,0.0
14565056,"RT @JohnJHarwood: new Quinnipiac Florida poll as President Trump announces his 2020 re-election campaign at Orlando rally:

Biden 50%, Trum…",2019-06-18 20:47:39,Brooklyn,102,439,0.13636363636363635,0.45454545454545453
1092616085696847873,"RT @dbongino: The Democrats would do their Party a lot of good by distancing themselves from this colossal ignoramus. Her disgusting, vile…",2019-06-18 20:47:39,"Chicago, IL",158,265,0.0,0.8000000000000002
866023130481008641,RT @Liz_Cheney: Please @AOC do us all a favor and spend just a few minutes learning some actual history. 6 million Jews were exterminated i…,2019-06-18 20:47:39,,83,146,-0.1,0.1
1334913853,Lol Trudeau just threw shade at trump,2019-06-18 20:47:39,Canada,2858,686,0.8,0.7
19345311,RT @spikedonline: “Sadiq Khan and his supporters seem more upset by Trump’s tweets on knife crime than by knife crime itself. These people…,2019-06-18 20:47:39,UK,2477,2460,0.5,0.5
1136349532277657600,"@CNNPolitics I think if the same number of people who support him today (June 18, 2019) support him on the day he d… https://t.co/nry1zPMlVf",2019-06-18 20:47:39,"Pennsylvania, USA",17,143,0.0,0.125
896496644656685056,RT @CNNPolitics: New poll shows Biden and other top Democrats beating Trump in Florida https://t.co/lt2BJgSK0L https://t.co/6dAr3hueEA,2019-06-18 20:47:39,"Shelton, WA",2222,1015,0.17045454545454544,0.4431818181818182
1138851234021068801,RT @David_Leheny: I think this gives Eric Greitens the inside line to be Trump’s next cabinet appointee. https://t.co/mCHxurX85B,2019-06-18 20:47:39,,2,7,0.0,0.0
781304089837723649,"RT @Arriadna: So the #TrumpRallyOrlando is a white supremacy rally. Ha, good to know why these people are still supporting Trump. It’s not…",2019-06-18 20:47:39,S. Florida,1765,322,0.31666666666666665,0.2833333333333334
2502938032,RT @PalmerReport: Trump University” and the “N-word” are both trending and I’m just going to assume that’s not a coincidence.,2019-06-18 20:47:39,"Miami, FL",44,145,0.0,0.0
1273266990,IMPEACH THE FUKING TRAITOR NOW!,2019-06-18 20:47:39,"El Paso, TX",3764,5001,0.0,0.0
71179847,"RT @RepJerryNadler: One of the lessons from the Holocaust is ‘Never Again’ - not only to mass murder, but also to the dehumanization of peo…",2019-06-18 20:47:39,The Light,2086,4994,0.0,1.0
7974682,RT @ThompsonToons: USA TODAY network cartoonists sound off on Trump's re-election announcement. See more cartoons here: https://t.co/QQUyx1…,2019-06-18 20:47:39,"Lansing, MI, USA",22,75,0.45,0.45
